"seqname","source","feature","start","end","score","strand","frame","gene_id","transcript_id","class_code","exon_number","gene_name","nearest_ref","oId","tss_id"
"chr1","Cufflinks","exon",182408264,182409021,".","-",".","XLOC_004981","TCONS_00013681","=",1,"Gm10517","ENSMUST00000192970.1","ENSMUST00000192970.1","TSS8335"
"chr1","Cufflinks","exon",170983734,170983962,".","+",".","XLOC_002394","TCONS_00006032","=",2,"Gm10522","ENSMUST00000194503.1","ENSMUST00000194503.1","TSS3754"
"chr1","Cufflinks","exon",159681662,159681744,".","+",".","XLOC_002215","TCONS_00005539","=",1,"Gm10530","ENSMUST00000097514.7","ENSMUST00000194909.1","TSS3472"
"chr1","Cufflinks","exon",157043547,157045849,".","+",".","XLOC_002192","TCONS_00005450","=",1,"Gm10531","ENSMUST00000193527.1","ENSMUST00000193527.1","TSS3418"
"chr18","Cufflinks","exon",75514645,75514750,".","+",".","XLOC_030525","TCONS_00076466","=",1,"Gm10532","ENSMUST00000181913.1","ENSMUST00000181913.1","TSS49185"
"chr1","Cufflinks","exon",135110136,135110354,".","+",".","XLOC_001887","TCONS_00004825","=",2,"Gm10535","ENSMUST00000182275.1","ENSMUST00000182275.1","TSS2968"
"chr1","Cufflinks","exon",133829528,133831225,".","+",".","XLOC_001863","TCONS_00004762","=",1,"Gm10537","ENSMUST00000192625.1","ENSMUST00000192625.1","TSS2926"
"chr1","Cufflinks","exon",132732108,132732826,".","+",".","XLOC_001851","TCONS_00004723","=",3,"Gm10538","ENSMUST00000189499.1","ENSMUST00000189499.1","TSS2898"
"chr18","Cufflinks","exon",37176757,37178514,".","-",".","XLOC_031008","TCONS_00077632","=",1,"Gm10544","ENSMUST00000180516.2","ENSMUST00000192479.1","TSS49922"
"chr18","Cufflinks","exon",37020041,37020679,".","-",".","XLOC_031007","TCONS_00077628","=",2,"Gm10545","ENSMUST00000097612.3","ENSMUST00000097612.3","TSS49921"
"chr1","Cufflinks","exon",93749716,93749809,".","+",".","XLOC_001466","TCONS_00003872","=",2,"Gm10550","ENSMUST00000188846.1","ENSMUST00000188846.1","TSS2336"
"chr1","Cufflinks","exon",85604085,85604440,".","-",".","XLOC_003856","TCONS_00010280","=",1,"Gm10552","ENSMUST00000161763.1","ENSMUST00000161763.1","TSS6258"
"chr1","Cufflinks","exon",79762717,79764507,".","+",".","XLOC_001151","TCONS_00003069","=",1,"Gm10555","ENSMUST00000193178.1","ENSMUST00000193178.1","TSS1823"
"chr18","Cufflinks","exon",4819309,4819361,".","+",".","XLOC_029533","TCONS_00074344","=",2,"Gm10556","ENSMUST00000180904.1","ENSMUST00000180904.1","TSS47736"
"chr1","Cufflinks","exon",66328666,66328796,".","-",".","XLOC_003614","TCONS_00009436","=",3,"Gm10558","ENSMUST00000147494.1","ENSMUST00000147494.1","TSS5800"
"chr1","Cufflinks","exon",55226251,55226750,".","+",".","XLOC_000690","TCONS_00001825","=",1,"Gm10561","ENSMUST00000181563.1","ENSMUST00000181563.1","TSS1068"
"chr4","Cufflinks","exon",155042359,155045422,".","+",".","XLOC_045628","TCONS_00116784","=",2,"Gm10564","ENSMUST00000097750.2","ENSMUST00000097750.2","TSS74471"
"chr1","Cufflinks","exon",3680155,3681788,".","+",".","XLOC_000168","TCONS_00000298","=",1,"Gm10568","ENSMUST00000193244.1","ENSMUST00000193244.1","TSS194"
"chr7","Cufflinks","exon",141465427,141465508,".","-",".","XLOC_061575","TCONS_00162476","=",2,"Gm10575","ENSMUST00000167900.1","ENSMUST00000167900.1","TSS102500"
"chr4","Cufflinks","exon",101054558,101055262,".","-",".","XLOC_046627","TCONS_00119752","=",1,"Gm10576","ENSMUST00000191927.1","ENSMUST00000192528.1","TSS76214"
"chr7","Cufflinks","exon",132315664,132318291,".","+",".","XLOC_058610","TCONS_00153579","=",1,"Gm10584","ENSMUST00000207036.1","ENSMUST00000207036.1","TSS97164"
"chr4","Cufflinks","exon",42552794,42552879,".","+",".","XLOC_043835","TCONS_00111973","=",2,"Gm10593","ENSMUST00000178906.1","ENSMUST00000178906.1","TSS71397"
"chr7","Cufflinks","exon",101836503,101837417,".","+",".","XLOC_058028","TCONS_00151755","=",1,"Gm10602","ENSMUST00000211428.1","ENSMUST00000211428.1","TSS96051"
"chr7","Cufflinks","exon",100464528,100464661,".","-",".","XLOC_060766","TCONS_00159872","=",2,"Gm10603","ENSMUST00000183512.1","ENSMUST00000184875.1","TSS100957"
"chr7","Cufflinks","exon",99625936,99629133,".","+",".","XLOC_057991","TCONS_00151590","=",1,"Gm10605","ENSMUST00000183019.1","ENSMUST00000183019.1","TSS95935"
"chr7","Cufflinks","exon",83545345,83545448,".","-",".","XLOC_060586","TCONS_00159357","=",2,"Gm10610","ENSMUST00000207184.1","ENSMUST00000208877.1","TSS100641"
"chr7","Cufflinks","exon",79466409,79468535,".","+",".","XLOC_057668","TCONS_00150781","=",1,"Gm10616","ENSMUST00000205285.1","ENSMUST00000205285.1","TSS95404"
"chr7","Cufflinks","exon",73816344,73816503,".","-",".","XLOC_060462","TCONS_00158909","j",8,"Gm10619","ENSMUST00000186073.6","CUFF.46794.1","TSS100371"
"chr7","Cufflinks","exon",66737804,66740442,".","+",".","XLOC_057493","TCONS_00150411","=",1,"Gm10623","ENSMUST00000209081.1","ENSMUST00000209081.1","TSS95145"
"chr8","Cufflinks","exon",106298270,106300017,".","+",".","XLOC_063207","TCONS_00167120","=",2,"Gm10629","ENSMUST00000137706.1","ENSMUST00000137706.1","TSS105205"
"chr8","Cufflinks","exon",104183850,104184081,".","-",".","XLOC_064693","TCONS_00170692","=",2,"Gm10631","ENSMUST00000153288.1","ENSMUST00000153288.1","TSS107529"
"chr9","Cufflinks","exon",88754450,88754474,".","+",".","XLOC_066356","TCONS_00174614","=",3,"Gm10634","ENSMUST00000188891.6","ENSMUST00000188891.6","TSS110087"
"chr3","Cufflinks","exon",146367153,146369243,".","-",".","XLOC_043049","TCONS_00109946","=",1,"Gm10636","ENSMUST00000197639.1","ENSMUST00000197639.1","TSS70182"
"chr8","Cufflinks","exon",87180379,87180452,".","-",".","XLOC_064547","TCONS_00170267","=",3,"Gm10637","ENSMUST00000183718.7","ENSMUST00000183718.7","TSS107271"
"chr7","Cufflinks","exon",31162559,31162718,".","+",".","XLOC_056935","TCONS_00148662","=",2,"Gm10640","ENSMUST00000187312.1","ENSMUST00000187312.1","TSS94159"
"chr8","Cufflinks","exon",76900106,76900621,".","-",".","XLOC_064395","TCONS_00169847","=",2,"Gm10649","ENSMUST00000143324.1","ENSMUST00000148066.1","TSS107010"
"chr3","Cufflinks","exon",128038694,128040661,".","+",".","XLOC_040746","TCONS_00103852","=",1,"Gm10650","ENSMUST00000196581.1","ENSMUST00000098625.2","TSS66379"
"chr3","Cufflinks","exon",121370032,121373302,".","+",".","XLOC_040637","TCONS_00103511","o",2,"Gm10652","ENSMUST00000199790.1","CUFF.38618.1","TSS66182"
"chr9","Cufflinks","exon",61370797,61372193,".","-",".","XLOC_067766","TCONS_00178653","=",1,"Gm10655","ENSMUST00000098658.2","ENSMUST00000098658.2","TSS112618"
"chr9","Cufflinks","exon",58554799,58555829,".","+",".","XLOC_065901","TCONS_00173560","=",1,"Gm10657","ENSMUST00000193528.1","ENSMUST00000193528.1","TSS109359"
"chr9","Cufflinks","exon",57071609,57071807,".","-",".","XLOC_067718","TCONS_00178516","=",3,"Gm10658","ENSMUST00000128125.1","ENSMUST00000128125.1","TSS112521"
"chr8","Cufflinks","exon",67352104,67352853,".","-",".","XLOC_064241","TCONS_00169521","=",1,"Gm10660","ENSMUST00000148610.1","ENSMUST00000148610.1","TSS106774"
"chr9","Cufflinks","exon",46242621,46243140,".","-",".","XLOC_067591","TCONS_00178159","=",1,"Gm10680","ENSMUST00000156612.1","ENSMUST00000156612.1","TSS112287"
"chr3","Cufflinks","exon",96458209,96458449,".","+",".","XLOC_040274","TCONS_00102447","=",1,"Gm10685","ENSMUST00000196120.1","ENSMUST00000196120.1","TSS65568"
"chr9","Cufflinks","exon",44134361,44134485,".","-",".","XLOC_067533","TCONS_00177953","=",2,"Gm10687","ENSMUST00000180670.1","ENSMUST00000180670.1","TSS112169"
"chr8","Cufflinks","exon",14090814,14092590,".","+",".","XLOC_061875","TCONS_00163484","o",2,"Gm10699","ENSMUST00000098916.2","CUFF.55499.2","TSS103080"
"chr6","Cufflinks","exon",71536166,71537793,".","+",".","XLOC_052831","TCONS_00137684","j",3,"Gm1070","ENSMUST00000114185.3","CUFF.46846.3","TSS87425"
"chr9","Cufflinks","exon",24400963,24401102,".","+",".","XLOC_065346","TCONS_00172187","=",3,"Gm10701","ENSMUST00000098926.2","ENSMUST00000098926.2","TSS108503"
"chr9","Cufflinks","exon",14718731,14719058,".","+",".","XLOC_065155","TCONS_00171726","=",5,"Gm10706","ENSMUST00000128327.1","ENSMUST00000128327.1","TSS108228"
"chr3","Cufflinks","exon",83125276,83129246,".","-",".","XLOC_042013","TCONS_00107059","=",1,"Gm10710","ENSMUST00000047876.6","ENSMUST00000047876.6","TSS68346"
"chr2","Cufflinks","exon",174125038,174125692,".","-",".","XLOC_038947","TCONS_00098517","=",1,"Gm10714","ENSMUST00000131346.1","ENSMUST00000131346.1","TSS63290"
"chr3","Cufflinks","exon",68407783,68408447,".","+",".","XLOC_039864","TCONS_00101194","o",1,"Gm10723","ENSMUST00000195366.1","CUFF.34055.2","TSS64820"
"chr3","Cufflinks","exon",51935422,51935431,".","-",".","XLOC_041655","TCONS_00106212","o",2,"Gm10728","ENSMUST00000194665.1","CUFF.33288.1","TSS67778"
"chr3","Cufflinks","exon",51693716,51695090,".","+",".","XLOC_039651","TCONS_00100656","=",1,"Gm10729","ENSMUST00000193403.1","ENSMUST00000193403.1","TSS64492"
"chr3","Cufflinks","exon",47263078,47265800,".","-",".","XLOC_041590","TCONS_00106089","=",1,"Gm10730","ENSMUST00000194097.1","ENSMUST00000194097.1","TSS67692"
"chr3","Cufflinks","exon",11844182,11844359,".","-",".","XLOC_041199","TCONS_00105240","=",5,"Gm10745","ENSMUST00000192022.1","ENSMUST00000192022.1","TSS67132"
"chr3","Cufflinks","exon",5397678,5397801,".","+",".","XLOC_039142","TCONS_00099012","j",9,"Gm10748","ENSMUST00000194396.1","CUFF.32663.14","TSS63591"
"chr10","Cufflinks","exon",87289493,87291827,".","+",".","XLOC_006403","TCONS_00017335","=",1,"Gm10764","ENSMUST00000195005.1","ENSMUST00000195005.1","TSS10627"
"chr2","Cufflinks","exon",127269996,127270055,".","-",".","XLOC_038229","TCONS_00096464","o",2,"Gm10766","ENSMUST00000194123.1","CUFF.30701.1","TSS62016"
"chr16","Cufflinks","exon",91709835,91709898,".","+",".","XLOC_025689","TCONS_00063960","=",3,"Gm10785","ENSMUST00000156242.1","ENSMUST00000156242.1","TSS41180"
"chr2","Cufflinks","exon",93456046,93456721,".","+",".","XLOC_035108","TCONS_00087271","=",3,"Gm10804","ENSMUST00000099693.8","ENSMUST00000162565.7","TSS56362"
"chr19","Cufflinks","exon",6014869,6015812,".","+",".","XLOC_031500","TCONS_00078779","=",3,"Gm10814","ENSMUST00000180505.1","ENSMUST00000180505.1","TSS50700"
"chr2","Cufflinks","exon",73898573,73900850,".","+",".","XLOC_034763","TCONS_00086419","=",2,"Gm10822","ENSMUST00000181596.1","ENSMUST00000181596.1","TSS55807"
"chr10","Cufflinks","exon",22402883,22403148,".","+",".","XLOC_005401","TCONS_00014966","=",1,"Gm10825","ENSMUST00000180537.1","ENSMUST00000180537.1","TSS9070"
"chr10","Cufflinks","exon",18235053,18235104,".","+",".","XLOC_005330","TCONS_00014784","=",1,"Gm10827","ENSMUST00000181897.1","ENSMUST00000181897.1","TSS8959"
"chr2","Cufflinks","exon",35844195,35847182,".","+",".","XLOC_034251","TCONS_00085457","=",1,"Gm10829","ENSMUST00000202084.1","ENSMUST00000202084.1","TSS55103"
"chr15","Cufflinks","exon",103104929,103105069,".","+",".","XLOC_023147","TCONS_00058044","=",2,"Gm10830","ENSMUST00000186379.1","ENSMUST00000186379.1","TSS37212"
"chr2","Cufflinks","exon",14706834,14708436,".","-",".","XLOC_036823","TCONS_00092026","=",1,"Gm10848","ENSMUST00000192361.1","ENSMUST00000192361.1","TSS59285"
"chr2","Cufflinks","exon",11521706,11522133,".","+",".","XLOC_033731","TCONS_00083911","=",1,"Gm10851","ENSMUST00000192087.1","ENSMUST00000192087.1","TSS54054"
"chr2","Cufflinks","exon",6895616,6895827,".","-",".","XLOC_036739","TCONS_00091746","o",1,"Gm10855","ENSMUST00000100426.2","CUFF.27502.1","TSS59127"
"chr2","Cufflinks","exon",6132883,6134215,".","+",".","XLOC_033572","TCONS_00083716","=",1,"Gm10857","ENSMUST00000195343.1","ENSMUST00000195480.1","TSS53882"
"chr14","Cufflinks","exon",67432739,67432969,".","-",".","XLOC_021404","TCONS_00054047","=",4,"Gm10860","ENSMUST00000176934.1","ENSMUST00000176934.1","TSS34565"
"chr2","Cufflinks","exon",4091140,4094489,".","+",".","XLOC_033544","TCONS_00083628","=",1,"Gm10862","ENSMUST00000193956.1","ENSMUST00000193956.1","TSS53840"
"chr15","Cufflinks","exon",79166066,79166179,".","+",".","XLOC_022675","TCONS_00056809","=",1,"Gm10863","ENSMUST00000131710.7","ENSMUST00000147620.7","TSS36428"
"chr5","Cufflinks","exon",138385078,138385177,".","+",".","XLOC_049595","TCONS_00128498","=",3,"Gm10874","ENSMUST00000100526.2","ENSMUST00000100526.2","TSS81720"
"chr2","Cufflinks","exon",176097450,176097576,".","+",".","XLOC_036516","TCONS_00091061","=",1,"Gm11008","ENSMUST00000178432.1","ENSMUST00000178432.1","TSS58709"
"chr8","Cufflinks","exon",74601529,74601550,".","-",".","XLOC_064389","TCONS_00169833","j",4,"Gm11033","ENSMUST00000127757.7","CUFF.49578.2","TSS107000"
"chr14","Cufflinks","exon",13943551,13943675,".","+",".","XLOC_018873","TCONS_00048630","=",2,"Gm11100","ENSMUST00000112652.7","ENSMUST00000159275.2","TSS30810"
"chr17","Cufflinks","exon",35377021,35379737,".","-",".","XLOC_028558","TCONS_00072232","=",1,"Gm11131","ENSMUST00000113886.2","ENSMUST00000113886.2","TSS46252"
"chr8","Cufflinks","exon",70699616,70699689,".","-",".","XLOC_064339","TCONS_00169735","=",2,"Gm11175","ENSMUST00000211380.1","ENSMUST00000211380.1","TSS106921"
"chr4","Cufflinks","exon",83386884,83386960,".","+",".","XLOC_044327","TCONS_00113104","=",2,"Gm11184","ENSMUST00000126437.1","ENSMUST00000126437.1","TSS72148"
"chr11","Cufflinks","exon",53112742,53112871,".","-",".","XLOC_010984","TCONS_00029925","=",2,"Gm11186","ENSMUST00000137096.1","ENSMUST00000137096.1","TSS18651"
"chr11","Cufflinks","exon",77912127,77915391,".","-",".","XLOC_011448","TCONS_00031305","=",1,"Gm11190","ENSMUST00000132487.1","ENSMUST00000132487.1","TSS19578"
"chr11","Cufflinks","exon",78278952,78279066,".","-",".","XLOC_011459","TCONS_00031331","=",2,"Gm11192","ENSMUST00000127017.1","ENSMUST00000127017.1","TSS19596"
"chr11","Cufflinks","exon",78293862,78293956,".","-",".","XLOC_011460","TCONS_00031332","=",2,"Gm11193","ENSMUST00000147795.1","ENSMUST00000147795.1","TSS19597"
"chr11","Cufflinks","exon",78444576,78444901,".","+",".","XLOC_009621","TCONS_00025861","=",2,"Gm11195","ENSMUST00000135030.1","ENSMUST00000135030.1","TSS16024"
"chr11","Cufflinks","exon",79027521,79027670,".","+",".","XLOC_009631","TCONS_00025890","=",2,"Gm11201","ENSMUST00000143473.1","ENSMUST00000143473.1","TSS16043"
"chr11","Cufflinks","exon",79704630,79704666,".","+",".","XLOC_009636","TCONS_00025903","=",1,"Gm11205","ENSMUST00000137738.1","ENSMUST00000137738.1","TSS16053"
"chr4","Cufflinks","exon",62723672,62723871,".","+",".","XLOC_044182","TCONS_00112859","=",2,"Gm11210","ENSMUST00000150203.1","ENSMUST00000150203.1","TSS71961"
"chr4","Cufflinks","exon",62727448,62727537,".","-",".","XLOC_046311","TCONS_00118864","=",3,"Gm11211","ENSMUST00000143618.1","ENSMUST00000143618.1","TSS75681"
"chr4","Cufflinks","exon",64078062,64078215,".","+",".","XLOC_044214","TCONS_00112931","=",2,"Gm11216","ENSMUST00000125240.1","ENSMUST00000125240.1","TSS72004"
"chr4","Cufflinks","exon",64257199,64257383,".","-",".","XLOC_046330","TCONS_00118937","=",2,"Gm11217","ENSMUST00000141162.1","ENSMUST00000141162.1","TSS75721"
"chr4","Cufflinks","exon",71075109,71076805,".","-",".","XLOC_046344","TCONS_00118991","=",1,"Gm11228","ENSMUST00000143796.1","ENSMUST00000143796.1","TSS75755"
"chr4","Cufflinks","exon",71998859,71999559,".","+",".","XLOC_044245","TCONS_00112988","=",2,"Gm11234","ENSMUST00000141030.1","ENSMUST00000141030.1","TSS72049"
"chr4","Cufflinks","exon",73843837,73844095,".","+",".","XLOC_044258","TCONS_00113002","o",2,"Gm11240","ENSMUST00000142047.1","CUFF.36815.1","TSS72063"
"chr4","Cufflinks","exon",72168768,72169014,".","+",".","XLOC_044246","TCONS_00112989","=",1,"Gm11250","ENSMUST00000142137.1","ENSMUST00000142137.1","TSS72050"
"chr4","Cufflinks","exon",78659967,78660147,".","-",".","XLOC_046383","TCONS_00119104","=",1,"Gm11261","ENSMUST00000132470.1","ENSMUST00000126647.1","TSS75824"
"chr4","Cufflinks","exon",82033312,82034979,".","-",".","XLOC_046391","TCONS_00119132","=",1,"Gm11264","ENSMUST00000143755.1","ENSMUST00000143755.1","TSS75846"
"chr4","Cufflinks","exon",82546242,82547292,".","+",".","XLOC_044312","TCONS_00113085","o",2,"Gm11266","ENSMUST00000139835.1","CUFF.36874.3","TSS72131"
"chr4","Cufflinks","exon",82585048,82585715,".","-",".","XLOC_046400","TCONS_00119156","=",1,"Gm11267","ENSMUST00000137477.1","ENSMUST00000137477.1","TSS75859"
"chr4","Cufflinks","exon",82305006,82305015,".","+",".","XLOC_044310","TCONS_00113083","o",1,"Gm11269","ENSMUST00000157011.1","CUFF.36874.1","TSS72128"
"chr13","Cufflinks","exon",21769125,21769213,".","+",".","XLOC_015758","TCONS_00041371","=",1,"Gm11274","ENSMUST00000146857.1","ENSMUST00000146857.1","TSS26273"
"chr13","Cufflinks","exon",21945125,21945197,".","-",".","XLOC_017402","TCONS_00045054","=",2,"Gm11280","ENSMUST00000124912.1","ENSMUST00000124912.1","TSS28509"
"chr13","Cufflinks","exon",22014468,22014601,".","+",".","XLOC_015768","TCONS_00041398","=",1,"Gm11290","ENSMUST00000133204.7","ENSMUST00000124833.1","TSS26287"
"chr13","Cufflinks","exon",22018147,22018249,".","+",".","XLOC_015769","TCONS_00041399","=",2,"Gm11291","ENSMUST00000147811.1","ENSMUST00000147811.1","TSS26288"
"chr13","Cufflinks","exon",22026699,22026846,".","+",".","XLOC_015770","TCONS_00041400","=",1,"Gm11292","ENSMUST00000146121.1","ENSMUST00000146121.1","TSS26289"
"chr13","Cufflinks","exon",22524336,22524744,".","-",".","XLOC_017422","TCONS_00045078","=",2,"Gm11300","ENSMUST00000137651.1","ENSMUST00000137651.1","TSS28529"
"chr13","Cufflinks","exon",22691299,22691705,".","+",".","XLOC_015798","TCONS_00041429","=",1,"Gm11309","ENSMUST00000127108.2","ENSMUST00000127108.2","TSS26317"
"chr13","Cufflinks","exon",22773340,22773471,".","+",".","XLOC_015800","TCONS_00041431","=",2,"Gm11314","ENSMUST00000148492.1","ENSMUST00000148492.1","TSS26319"
"chr13","Cufflinks","exon",23530677,23530943,".","-",".","XLOC_017459","TCONS_00045132","=",2,"Gm11335","ENSMUST00000148743.1","ENSMUST00000148743.1","TSS28568"
"chr13","Cufflinks","exon",23804539,23804599,".","-",".","XLOC_017477","TCONS_00045172","=",3,"Gm11337","ENSMUST00000144770.1","ENSMUST00000144770.1","TSS28594"
"chr13","Cufflinks","exon",23965946,23966175,".","+",".","XLOC_015851","TCONS_00041506","=",3,"Gm11339","ENSMUST00000154766.1","ENSMUST00000154766.1","TSS26376"
"chr13","Cufflinks","exon",24337211,24337343,".","-",".","XLOC_017490","TCONS_00045213","=",2,"Gm11342","ENSMUST00000148981.1","ENSMUST00000148981.1","TSS28618"
"chr13","Cufflinks","exon",24375915,24375950,".","-",".","XLOC_017493","TCONS_00045214","=",6,"Gm11345","ENSMUST00000147704.1","ENSMUST00000147704.1","TSS28621"
"chr13","Cufflinks","exon",25921033,25921292,".","-",".","XLOC_017508","TCONS_00045254","=",1,"Gm11351","ENSMUST00000139335.1","ENSMUST00000139335.1","TSS28647"
"chr13","Cufflinks","exon",29236472,29236620,".","-",".","XLOC_017581","TCONS_00045362","=",2,"Gm11364","ENSMUST00000137593.1","ENSMUST00000137593.1","TSS28735"
"chr13","Cufflinks","exon",29964376,29964998,".","-",".","XLOC_017601","TCONS_00045400","x",2,"Gm11365","ENSMUST00000144277.1","CUFF.12967.1","TSS28757"
"chr13","Cufflinks","exon",30058677,30058781,".","+",".","XLOC_015972","TCONS_00041708","=",1,"Gm11368","ENSMUST00000139576.1","ENSMUST00000139576.1","TSS26540"
"chr13","Cufflinks","exon",31325934,31326144,".","-",".","XLOC_017634","TCONS_00045445","=",1,"Gm11373","ENSMUST00000129791.1","ENSMUST00000129791.1","TSS28796"
"chr13","Cufflinks","exon",31328575,31329146,".","-",".","XLOC_017635","TCONS_00045446","=",1,"Gm11374","ENSMUST00000148207.1","ENSMUST00000148207.1","TSS28797"
"chr13","Cufflinks","exon",31408778,31408880,".","-",".","XLOC_017637","TCONS_00045450","=",4,"Gm11375","ENSMUST00000135656.1","ENSMUST00000135656.1","TSS28800"
"chr13","Cufflinks","exon",31299712,31299846,".","+",".","XLOC_015987","TCONS_00041781","=",2,"Gm11376","ENSMUST00000144541.1","ENSMUST00000144541.1","TSS26560"
"chr13","Cufflinks","exon",31565910,31565990,".","+",".","XLOC_015991","TCONS_00041786","=",2,"Gm11377","ENSMUST00000131539.1","ENSMUST00000131539.1","TSS26565"
"chr13","Cufflinks","exon",31620252,31620369,".","+",".","XLOC_015992","TCONS_00041787","=",2,"Gm11378","ENSMUST00000130966.1","ENSMUST00000130966.1","TSS26566"
"chr13","Cufflinks","exon",31797710,31797779,".","+",".","XLOC_015994","TCONS_00041789","=",1,"Gm11379","ENSMUST00000154678.1","ENSMUST00000154678.1","TSS26568"
"chr13","Cufflinks","exon",32382882,32382958,".","-",".","XLOC_017659","TCONS_00045489","=",2,"Gm11381","ENSMUST00000138574.1","ENSMUST00000138574.1","TSS28831"
"chr11","Cufflinks","exon",3143180,3143363,".","+",".","XLOC_008481","TCONS_00022728","=",3,"Gm11399","ENSMUST00000131021.1","ENSMUST00000131021.1","TSS14030"
"chr4","Cufflinks","exon",81743146,81743217,".","+",".","XLOC_044305","TCONS_00113073","=",1,"Gm11412","ENSMUST00000144875.1","ENSMUST00000144875.1","TSS72121"
"chr4","Cufflinks","exon",83390590,83390668,".","-",".","XLOC_046408","TCONS_00119224","=",3,"Gm11413","ENSMUST00000155822.1","ENSMUST00000155822.1","TSS75887"
"chr4","Cufflinks","exon",83888720,83888858,".","-",".","XLOC_046414","TCONS_00119240","=",3,"Gm11415","ENSMUST00000128214.1","ENSMUST00000128214.1","TSS75896"
"chr11","Cufflinks","exon",81082941,81083358,".","+",".","XLOC_009653","TCONS_00025962","=",3,"Gm11417","ENSMUST00000150536.1","ENSMUST00000150536.1","TSS16089"
"chr11","Cufflinks","exon",81592470,81592599,".","+",".","XLOC_009655","TCONS_00025964","=",3,"Gm11418","ENSMUST00000156193.1","ENSMUST00000156193.1","TSS16091"
"chr11","Cufflinks","exon",81985406,81985665,".","+",".","XLOC_009657","TCONS_00025967","=",1,"Gm11419","ENSMUST00000150772.1","ENSMUST00000150772.1","TSS16093"
"chr11","Cufflinks","exon",82780856,82781107,".","-",".","XLOC_011508","TCONS_00031439","j",2,"Gm11423","ENSMUST00000152784.7","CUFF.10719.1","TSS19675"
"chr11","Cufflinks","exon",82633353,82633485,".","+",".","XLOC_009664","TCONS_00025998","=",1,"Gm11426","ENSMUST00000125600.1","ENSMUST00000125600.1","TSS16103"
"chr11","Cufflinks","exon",84777723,84777829,".","-",".","XLOC_011552","TCONS_00031587","=",3,"Gm11431","ENSMUST00000155046.1","ENSMUST00000155046.1","TSS19763"
"chr2","Cufflinks","exon",163122606,163122778,".","+",".","XLOC_036240","TCONS_00090373","=",1,"Gm11454","ENSMUST00000144092.1","ENSMUST00000144092.1","TSS58247"
"chr2","Cufflinks","exon",164135703,164135783,".","+",".","XLOC_036256","TCONS_00090427","=",1,"Gm11455","ENSMUST00000149285.1","ENSMUST00000149285.1","TSS58283"
"chr2","Cufflinks","exon",164754264,164754304,".","-",".","XLOC_038808","TCONS_00098085","=",1,"Gm11457","ENSMUST00000124435.7","ENSMUST00000146846.1","TSS63011"
"chr2","Cufflinks","exon",165992340,165992517,".","-",".","XLOC_038832","TCONS_00098185","=",3,"Gm11464","ENSMUST00000146963.1","ENSMUST00000146963.1","TSS63075"
"chr2","Cufflinks","exon",165880025,165880107,".","+",".","XLOC_036290","TCONS_00090543","=",1,"Gm11465","ENSMUST00000127942.1","ENSMUST00000127942.1","TSS58357"
"chr2","Cufflinks","exon",166190691,166190862,".","-",".","XLOC_038834","TCONS_00098193","=",2,"Gm11466","ENSMUST00000148017.1","ENSMUST00000148017.1","TSS63082"
"chr2","Cufflinks","exon",166208595,166208627,".","-",".","XLOC_038835","TCONS_00098194","=",2,"Gm11467","ENSMUST00000129407.1","ENSMUST00000129407.1","TSS63083"
"chr2","Cufflinks","exon",166294745,166294831,".","+",".","XLOC_036294","TCONS_00090551","=",3,"Gm11468","ENSMUST00000152987.1","ENSMUST00000152987.1","TSS58364"
"chr2","Cufflinks","exon",167558344,167558450,".","+",".","XLOC_036324","TCONS_00090647","=",2,"Gm11476","ENSMUST00000127006.1","ENSMUST00000127006.1","TSS58421"
"chr11","Cufflinks","exon",87074722,87074958,".","-",".","XLOC_011597","TCONS_00031733","=",2,"Gm11479","ENSMUST00000134275.1","ENSMUST00000134275.1","TSS19847"
"chr4","Cufflinks","exon",63636549,63636700,".","+",".","XLOC_044211","TCONS_00112926","=",2,"Gm11482","ENSMUST00000147067.1","ENSMUST00000147067.1","TSS71999"
"chr11","Cufflinks","exon",87123733,87123831,".","-",".","XLOC_011600","TCONS_00031738","=",2,"Gm11491","ENSMUST00000129441.7","ENSMUST00000155828.1","TSS19851"
"chr11","Cufflinks","exon",88741011,88741365,".","-",".","XLOC_011630","TCONS_00031794","=",1,"Gm11493","ENSMUST00000134567.1","ENSMUST00000134567.1","TSS19893"
"chr11","Cufflinks","exon",90143500,90143624,".","-",".","XLOC_011678","TCONS_00031868","=",4,"Gm11494","ENSMUST00000142279.1","ENSMUST00000142279.1","TSS19954"
"chr11","Cufflinks","exon",88996402,88996544,".","-",".","XLOC_011636","TCONS_00031811","=",2,"Gm11496","ENSMUST00000128078.1","ENSMUST00000128078.1","TSS19907"
"chr11","Cufflinks","exon",89126184,89126706,".","-",".","XLOC_011639","TCONS_00031819","=",2,"Gm11497","ENSMUST00000138295.1","ENSMUST00000138295.1","TSS19910"
"chr11","Cufflinks","exon",87795784,87796469,".","-",".","XLOC_011608","TCONS_00031754","=",1,"Gm11505","ENSMUST00000130442.1","ENSMUST00000130442.1","TSS19862"
"chr11","Cufflinks","exon",88011991,88012332,".","-",".","XLOC_011615","TCONS_00031771","=",1,"Gm11508","ENSMUST00000129337.1","ENSMUST00000129337.1","TSS19876"
"chr11","Cufflinks","exon",95032759,95033023,".","+",".","XLOC_009865","TCONS_00026602","=",1,"Gm11513","ENSMUST00000138855.1","ENSMUST00000138855.1","TSS16471"
